Yil,Ay,Gun,Saat,Basel
Y2018,Ocak,D15,T0900,0.0
Y2018,Ocak,D15,T1000,0.0
Y2018,Ocak,D15,T1100,0.0
Y2018,Ocak,D15,T1200,0.0
Y2018,Ocak,D15,T1300,0.0
Y2018,Ocak,D15,T1400,0.0
Y2018,Ocak,D15,T1500,0.0
Y2018,Ocak,D15,T1600,0.1
Y2018,Ocak,D15,T1700,0.6
Y2018,Ocak,D15,T1800,0.5
Y2018,Ocak,D15,T1900,0.4
Y2018,Ocak,D15,T2000,1.3
Y2018,Ocak,D15,T2100,1.0
Y2018,Ocak,D15,T2200,0.5
Y2018,Ocak,D15,T2300,0.3
Y2018,Ocak,D16,T0000,0.3
Y2018,Ocak,D16,T0100,0.2
Y2018,Ocak,D16,T0200,0.1
Y2018,Ocak,D16,T0300,0.3
Y2018,Ocak,D16,T0400,0.4
Y2018,Ocak,D16,T0500,0.3
Y2018,Ocak,D16,T0600,0.5
Y2018,Ocak,D16,T0700,1.8
Y2018,Ocak,D16,T0800,0.6
Y2018,Ocak,D16,T0900,0.6
Y2018,Ocak,D16,T1000,0.8
Y2018,Ocak,D16,T1100,0.9
Y2018,Ocak,D16,T1200,1.7
Y2018,Ocak,D16,T1300,1.2
Y2018,Ocak,D16,T1400,0.5
Y2018,Ocak,D16,T1500,0.3
Y2018,Ocak,D16,T1600,0.4
Y2018,Ocak,D16,T1700,0.5
Y2018,Ocak,D16,T1800,0.6
Y2018,Ocak,D16,T1900,0.7
Y2018,Ocak,D16,T2000,0.7
Y2018,Ocak,D16,T2100,0.9
Y2018,Ocak,D16,T2200,0.4
Y2018,Ocak,D16,T2300,0.8
Y2018,Ocak,D17,T0000,1.5
Y2018,Ocak,D17,T0100,0.9
Y2018,Ocak,D17,T0200,0.7
Y2018,Ocak,D17,T0300,0.4
Y2018,Ocak,D17,T0400,0.5
Y2018,Ocak,D17,T0500,0.6
Y2018,Ocak,D17,T0600,0.7
Y2018,Ocak,D17,T0700,0.0
Y2018,Ocak,D17,T0800,0.1
Y2018,Ocak,D17,T0900,0.1
Y2018,Ocak,D17,T1000,0.3
Y2018,Ocak,D17,T1100,0.3
Y2018,Ocak,D17,T1200,0.1
Y2018,Ocak,D17,T1300,0.3
Y2018,Ocak,D17,T1400,0.1
Y2018,Ocak,D17,T1500,0.1
Y2018,Ocak,D17,T1600,0.0
Y2018,Ocak,D17,T1700,0.1
Y2018,Ocak,D17,T1800,0.1
Y2018,Ocak,D17,T1900,0.0
Y2018,Ocak,D17,T2000,0.0
Y2018,Ocak,D17,T2100,0.0
Y2018,Ocak,D17,T2200,0.5
Y2018,Ocak,D17,T2300,0.0
Y2018,Ocak,D18,T0000,0.0
Y2018,Ocak,D18,T0100,0.0
Y2018,Ocak,D18,T0200,0.3
Y2018,Ocak,D18,T0300,0.5
Y2018,Ocak,D18,T0400,0.5
Y2018,Ocak,D18,T0500,0.6
Y2018,Ocak,D18,T0600,0.7
Y2018,Ocak,D18,T0700,1.5
Y2018,Ocak,D18,T0800,1.0
Y2018,Ocak,D18,T0900,0.6
Y2018,Ocak,D18,T1000,0.3
Y2018,Ocak,D18,T1100,0.3
Y2018,Ocak,D18,T1200,0.2
Y2018,Ocak,D18,T1300,0.2
Y2018,Ocak,D18,T1400,0.1
Y2018,Ocak,D18,T1500,0.2
Y2018,Ocak,D18,T1600,0.5
Y2018,Ocak,D18,T1700,0.2
Y2018,Ocak,D18,T1800,0.2
Y2018,Ocak,D18,T1900,0.7
Y2018,Ocak,D18,T2000,0.6
Y2018,Ocak,D18,T2100,0.6
Y2018,Ocak,D18,T2200,0.9
Y2018,Ocak,D18,T2300,1.0
Y2018,Ocak,D19,T0000,1.3
Y2018,Ocak,D19,T0100,1.2
Y2018,Ocak,D19,T0200,1.2
Y2018,Ocak,D19,T0300,0.4
Y2018,Ocak,D19,T0400,0.5
Y2018,Ocak,D19,T0500,0.8
Y2018,Ocak,D19,T0600,0.4
Y2018,Ocak,D19,T0700,0.0
Y2018,Ocak,D19,T0800,0.0
Y2018,Ocak,D19,T0900,0.0
Y2018,Ocak,D19,T1000,0.0
Y2018,Ocak,D19,T1100,0.0
Y2018,Ocak,D19,T1200,0.0
Y2018,Ocak,D19,T1300,0.0
Y2018,Ocak,D19,T1400,0.0
Y2018,Ocak,D19,T1500,0.2
Y2018,Ocak,D19,T1600,0.0
Y2018,Ocak,D19,T1700,0.0
Y2018,Ocak,D19,T1800,0.4
Y2018,Ocak,D19,T1900,0.4
Y2018,Ocak,D19,T2000,0.3
Y2018,Ocak,D19,T2100,0.3
Y2018,Ocak,D19,T2200,0.1
Y2018,Ocak,D19,T2300,0.0
Y2018,Ocak,D20,T0000,0.0
Y2018,Ocak,D20,T0100,0.0
Y2018,Ocak,D20,T0200,0.0
Y2018,Ocak,D20,T0300,0.0
Y2018,Ocak,D20,T0400,0.2
Y2018,Ocak,D20,T0500,0.0
Y2018,Ocak,D20,T0600,0.0
Y2018,Ocak,D20,T0700,0.3
Y2018,Ocak,D20,T0800,0.3
Y2018,Ocak,D20,T0900,0.3
Y2018,Ocak,D20,T1000,0.2
Y2018,Ocak,D20,T1100,0.1
Y2018,Ocak,D20,T1200,0.1
Y2018,Ocak,D20,T1300,0.2
Y2018,Ocak,D20,T1400,0.5
Y2018,Ocak,D20,T1500,1.0
Y2018,Ocak,D20,T1600,1.2
Y2018,Ocak,D20,T1700,1.4
Y2018,Ocak,D20,T1800,0.6
Y2018,Ocak,D20,T1900,0.9
Y2018,Ocak,D20,T2000,1.7
Y2018,Ocak,D20,T2100,2.5
Y2018,Ocak,D20,T2200,1.5
Y2018,Ocak,D20,T2300,1.2
Y2018,Ocak,D21,T0000,0.5
Y2018,Ocak,D21,T0100,0.4
Y2018,Ocak,D21,T0200,0.3
Y2018,Ocak,D21,T0300,0.2
Y2018,Ocak,D21,T0400,0.1
Y2018,Ocak,D21,T0500,0.0
Y2018,Ocak,D21,T0600,0.0
Y2018,Ocak,D21,T0700,0.2
Y2018,Ocak,D21,T0800,0.1
Y2018,Ocak,D21,T0900,0.0
Y2018,Ocak,D21,T1000,0.2
Y2018,Ocak,D21,T1100,0.1
Y2018,Ocak,D21,T1200,0.1
Y2018,Ocak,D21,T1300,0.0
Y2018,Ocak,D21,T1400,0.0
Y2018,Ocak,D21,T1500,0.0
Y2018,Ocak,D21,T1600,0.2
Y2018,Ocak,D21,T1700,0.1
Y2018,Ocak,D21,T1800,0.1
Y2018,Ocak,D21,T1900,0.5
Y2018,Ocak,D21,T2000,0.4
Y2018,Ocak,D21,T2100,0.5
Y2018,Ocak,D21,T2200,0.8
Y2018,Ocak,D21,T2300,1.1
Y2018,Ocak,D22,T0000,1.3
Y2018,Ocak,D22,T0100,1.7
Y2018,Ocak,D22,T0200,1.6
Y2018,Ocak,D22,T0300,2.0
Y2018,Ocak,D22,T0400,0.6
Y2018,Ocak,D22,T0500,0.4
Y2018,Ocak,D22,T0600,0.2
Y2018,Ocak,D22,T0700,0.0
Y2018,Ocak,D22,T0800,0.1
Y2018,Ocak,D22,T0900,0.2
Y2018,Ocak,D22,T1000,1.3
Y2018,Ocak,D22,T1100,1.8
Y2018,Ocak,D22,T1200,1.7
Y2018,Ocak,D22,T1300,2.1
Y2018,Ocak,D22,T1400,2.2
Y2018,Ocak,D22,T1500,1.9
Y2018,Ocak,D22,T1600,2.4
Y2018,Ocak,D22,T1700,2.5
Y2018,Ocak,D22,T1800,1.8
Y2018,Ocak,D22,T1900,0.4
Y2018,Ocak,D22,T2000,0.2
Y2018,Ocak,D22,T2100,0.2
Y2018,Ocak,D22,T2200,0.0
Y2018,Ocak,D22,T2300,0.0
Y2018,Ocak,D23,T0000,0.0
Y2018,Ocak,D23,T0100,0.0
Y2018,Ocak,D23,T0200,0.0
Y2018,Ocak,D23,T0300,0.0
Y2018,Ocak,D23,T0400,0.0
Y2018,Ocak,D23,T0500,0.0
Y2018,Ocak,D23,T0600,0.0
Y2018,Ocak,D23,T0700,0.0
Y2018,Ocak,D23,T0800,0.0
Y2018,Ocak,D23,T0900,0.0
Y2018,Ocak,D23,T1000,0.0
Y2018,Ocak,D23,T1100,0.0
Y2018,Ocak,D23,T1200,0.0
Y2018,Ocak,D23,T1300,0.0
Y2018,Ocak,D23,T1400,0.0
Y2018,Ocak,D23,T1500,0.0
Y2018,Ocak,D23,T1600,0.0
Y2018,Ocak,D23,T1700,0.0
Y2018,Ocak,D23,T1800,0.0
Y2018,Ocak,D23,T1900,0.0
Y2018,Ocak,D23,T2000,0.0
Y2018,Ocak,D23,T2100,0.0
Y2018,Ocak,D23,T2200,0.0
Y2018,Ocak,D23,T2300,0.0
Y2018,Ocak,D24,T0000,0.0
Y2018,Ocak,D24,T0100,0.0
Y2018,Ocak,D24,T0200,0.0
Y2018,Ocak,D24,T0300,0.0
Y2018,Ocak,D24,T0400,0.0
Y2018,Ocak,D24,T0500,0.0
Y2018,Ocak,D24,T0600,0.0
Y2018,Ocak,D24,T0700,0.0
Y2018,Ocak,D24,T0800,0.0
Y2018,Ocak,D24,T0900,0.0
Y2018,Ocak,D24,T1000,0.0
Y2018,Ocak,D24,T1100,0.0
Y2018,Ocak,D24,T1200,0.0
Y2018,Ocak,D24,T1300,0.0
Y2018,Ocak,D24,T1400,0.0
Y2018,Ocak,D24,T1500,0.0
Y2018,Ocak,D24,T1600,0.0
Y2018,Ocak,D24,T1700,0.0
Y2018,Ocak,D24,T1800,0.0
Y2018,Ocak,D24,T1900,0.0
Y2018,Ocak,D24,T2000,0.0
Y2018,Ocak,D24,T2100,0.0
Y2018,Ocak,D24,T2200,0.0
Y2018,Ocak,D24,T2300,0.0
Y2018,Ocak,D25,T0000,0.0
Y2018,Ocak,D25,T0100,0.0
Y2018,Ocak,D25,T0200,0.0
Y2018,Ocak,D25,T0300,0.0
Y2018,Ocak,D25,T0400,0.0
Y2018,Ocak,D25,T0500,0.0
Y2018,Ocak,D25,T0600,0.0
Y2018,Ocak,D25,T0700,0.0
Y2018,Ocak,D25,T0800,0.0
Y2018,Ocak,D25,T0900,0.0
Y2018,Ocak,D25,T1000,0.0
Y2018,Ocak,D25,T1100,0.0
Y2018,Ocak,D25,T1200,0.0
Y2018,Ocak,D25,T1300,0.0
Y2018,Ocak,D25,T1400,0.0
Y2018,Ocak,D25,T1500,0.0
Y2018,Ocak,D25,T1600,0.0
Y2018,Ocak,D25,T1700,0.0
Y2018,Ocak,D25,T1800,0.0
Y2018,Ocak,D25,T1900,0.0
Y2018,Ocak,D25,T2000,0.0
Y2018,Ocak,D25,T2100,0.0
Y2018,Ocak,D25,T2200,0.0
Y2018,Ocak,D25,T2300,0.0
Y2018,Ocak,D26,T0000,0.0
Y2018,Ocak,D26,T0100,0.0
Y2018,Ocak,D26,T0200,0.0
Y2018,Ocak,D26,T0300,0.0
Y2018,Ocak,D26,T0400,0.0
Y2018,Ocak,D26,T0500,0.0
Y2018,Ocak,D26,T0600,0.0
Y2018,Ocak,D26,T0700,0.2
Y2018,Ocak,D26,T0800,0.1
Y2018,Ocak,D26,T0900,0.1
Y2018,Ocak,D26,T1000,0.2
Y2018,Ocak,D26,T1100,0.3
Y2018,Ocak,D26,T1200,0.3
Y2018,Ocak,D26,T1300,0.4
