Yil,Ay,Gun,Saat,Yagis
Y2023,Ocak,D27,T2300,0.0
Y2023,Ocak,D28,T0000,0.0
Y2023,Ocak,D28,T0100,0.0
Y2023,Ocak,D28,T0200,0.0
Y2023,Ocak,D28,T0300,0.0
Y2023,Ocak,D28,T0400,0.0
Y2023,Ocak,D28,T0500,0.0
Y2023,Ocak,D28,T0600,0.0
Y2023,Ocak,D28,T0700,0.0
Y2023,Ocak,D28,T0800,0.0
Y2023,Ocak,D28,T0900,0.0
Y2023,Ocak,D28,T1000,0.0
Y2023,Ocak,D28,T1100,0.0
Y2023,Ocak,D28,T1200,0.0
