Yil,Ay,Gun,Saat,Nem
Y2023,Ocak,D22,T1800,83.47209
Y2023,Ocak,D22,T1900,85.73786
Y2023,Ocak,D22,T2000,86.631294
Y2023,Ocak,D22,T2100,86.33677
Y2023,Ocak,D22,T2200,88.414314
Y2023,Ocak,D22,T2300,88.01093
Y2023,Ocak,D23,T0000,87.371704
Y2023,Ocak,D23,T0100,87.07788
Y2023,Ocak,D23,T0200,87.26505
Y2023,Ocak,D23,T0300,86.25435
Y2023,Ocak,D23,T0400,85.75235
Y2023,Ocak,D23,T0500,84.479546
Y2023,Ocak,D23,T0600,82.74169
Y2023,Ocak,D23,T0700,80.955605
Y2023,Ocak,D23,T0800,80.196205
Y2023,Ocak,D23,T0900,80.51197
Y2023,Ocak,D23,T1000,72.78502
Y2023,Ocak,D23,T1100,72.06008
Y2023,Ocak,D23,T1200,70.95573
Y2023,Ocak,D23,T1300,71.183945
Y2023,Ocak,D23,T1400,71.22283
Y2023,Ocak,D23,T1500,72.359375
Y2023,Ocak,D23,T1600,73.25261
Y2023,Ocak,D23,T1700,73.10863
Y2023,Ocak,D23,T1800,74.20496
Y2023,Ocak,D23,T1900,75.84224
Y2023,Ocak,D23,T2000,76.86255
Y2023,Ocak,D23,T2100,76.50013
Y2023,Ocak,D23,T2200,77.69275
Y2023,Ocak,D23,T2300,77.5916
Y2023,Ocak,D24,T0000,77.76018
Y2023,Ocak,D24,T0100,77.21519
Y2023,Ocak,D24,T0200,77.48357
Y2023,Ocak,D24,T0300,77.97032
Y2023,Ocak,D24,T0400,78.35309
Y2023,Ocak,D24,T0500,78.917946
Y2023,Ocak,D24,T0600,79.556694
Y2023,Ocak,D24,T0700,80.123566
Y2023,Ocak,D24,T0800,79.85268
Y2023,Ocak,D24,T0900,80.21925
Y2023,Ocak,D24,T1000,78.1058
Y2023,Ocak,D24,T1100,77.09597
Y2023,Ocak,D24,T1200,74.903465
Y2023,Ocak,D24,T1300,74.68735
Y2023,Ocak,D24,T1400,74.60209
Y2023,Ocak,D24,T1500,75.95675
Y2023,Ocak,D24,T1600,81.65023
Y2023,Ocak,D24,T1700,82.88248
Y2023,Ocak,D24,T1800,84.41343
Y2023,Ocak,D24,T1900,85.947235
Y2023,Ocak,D24,T2000,86.39414
Y2023,Ocak,D24,T2100,86.85043
Y2023,Ocak,D24,T2200,87.10658
Y2023,Ocak,D24,T2300,86.98557
Y2023,Ocak,D25,T0000,87.99603
Y2023,Ocak,D25,T0100,89.03596
Y2023,Ocak,D25,T0200,89.53757
Y2023,Ocak,D25,T0300,89.737335
Y2023,Ocak,D25,T0400,90.92491
Y2023,Ocak,D25,T0500,91.352715
Y2023,Ocak,D25,T0600,90.96867
Y2023,Ocak,D25,T0700,90.49208
Y2023,Ocak,D25,T0800,88.256256
Y2023,Ocak,D25,T0900,85.00827
Y2023,Ocak,D25,T1000,84.72725
Y2023,Ocak,D25,T1100,84.24411
Y2023,Ocak,D25,T1200,82.876625
Y2023,Ocak,D25,T1300,82.78221
Y2023,Ocak,D25,T1400,82.55381
Y2023,Ocak,D25,T1500,81.427155
Y2023,Ocak,D25,T1600,85.561485
Y2023,Ocak,D25,T1700,79.1417
Y2023,Ocak,D25,T1800,79.75094
Y2023,Ocak,D25,T1900,80.42951
Y2023,Ocak,D25,T2000,81.890656
Y2023,Ocak,D25,T2100,83.38525
Y2023,Ocak,D25,T2200,84.64502
Y2023,Ocak,D25,T2300,86.95997
Y2023,Ocak,D26,T0000,88.38939
Y2023,Ocak,D26,T0100,89.230995
Y2023,Ocak,D26,T0200,89.94792
Y2023,Ocak,D26,T0300,89.87781
Y2023,Ocak,D26,T0400,89.904274
Y2023,Ocak,D26,T0500,90.13299
Y2023,Ocak,D26,T0600,89.92914
Y2023,Ocak,D26,T0700,88.03806
Y2023,Ocak,D26,T0800,87.562256
Y2023,Ocak,D26,T0900,86.216675
Y2023,Ocak,D26,T1000,86.499695
Y2023,Ocak,D26,T1100,83.1419
Y2023,Ocak,D26,T1200,82.15527
Y2023,Ocak,D26,T1300,81.55222
Y2023,Ocak,D26,T1400,81.517624
Y2023,Ocak,D26,T1500,81.00952
Y2023,Ocak,D26,T1600,79.83544
Y2023,Ocak,D26,T1700,80.31464
Y2023,Ocak,D26,T1800,80.57491
Y2023,Ocak,D26,T1900,81.69395
Y2023,Ocak,D26,T2000,81.49879
Y2023,Ocak,D26,T2100,82.52201
Y2023,Ocak,D26,T2200,84.33751
Y2023,Ocak,D26,T2300,85.78007
Y2023,Ocak,D27,T0000,85.20701
Y2023,Ocak,D27,T0100,86.2934
Y2023,Ocak,D27,T0200,87.44644
Y2023,Ocak,D27,T0300,88.76438
Y2023,Ocak,D27,T0400,88.5844
Y2023,Ocak,D27,T0500,89.91275
Y2023,Ocak,D27,T0600,88.149704
Y2023,Ocak,D27,T0700,89.07892
