Yil,Ay,Gun,Saat,Bulut
Y2023,Ocak,D24,T1300,87.0
Y2023,Ocak,D24,T1400,82.0
Y2023,Ocak,D24,T1500,65.0
Y2023,Ocak,D24,T1600,71.0
Y2023,Ocak,D24,T1700,61.0
Y2023,Ocak,D24,T1800,59.0
Y2023,Ocak,D24,T1900,63.0
Y2023,Ocak,D24,T2000,67.0
Y2023,Ocak,D24,T2100,58.0
Y2023,Ocak,D24,T2200,81.0
Y2023,Ocak,D24,T2300,77.0
Y2023,Ocak,D25,T0000,80.0
Y2023,Ocak,D25,T0100,82.0
Y2023,Ocak,D25,T0200,79.0
Y2023,Ocak,D25,T0300,81.0
Y2023,Ocak,D25,T0400,81.0
Y2023,Ocak,D25,T0500,85.0
Y2023,Ocak,D25,T0600,84.0
Y2023,Ocak,D25,T0700,74.0
Y2023,Ocak,D25,T0800,69.0
Y2023,Ocak,D25,T0900,78.0
Y2023,Ocak,D25,T1000,84.0
Y2023,Ocak,D25,T1100,91.0
Y2023,Ocak,D25,T1200,90.0
Y2023,Ocak,D25,T1300,90.0
Y2023,Ocak,D25,T1400,89.0
Y2023,Ocak,D25,T1500,89.0
Y2023,Ocak,D25,T1600,74.0
Y2023,Ocak,D25,T1700,59.0
Y2023,Ocak,D25,T1800,47.0
Y2023,Ocak,D25,T1900,31.0
Y2023,Ocak,D25,T2000,42.0
Y2023,Ocak,D25,T2100,52.0
Y2023,Ocak,D25,T2200,83.0
Y2023,Ocak,D25,T2300,86.0
Y2023,Ocak,D26,T0000,89.0
Y2023,Ocak,D26,T0100,86.0
Y2023,Ocak,D26,T0200,82.0
Y2023,Ocak,D26,T0300,69.0
Y2023,Ocak,D26,T0400,72.0
Y2023,Ocak,D26,T0500,79.0
Y2023,Ocak,D26,T0600,86.0
Y2023,Ocak,D26,T0700,80.0
Y2023,Ocak,D26,T0800,84.0
Y2023,Ocak,D26,T0900,85.0
Y2023,Ocak,D26,T1000,87.0
Y2023,Ocak,D26,T1100,87.0
Y2023,Ocak,D26,T1200,86.0
Y2023,Ocak,D26,T1300,88.0
Y2023,Ocak,D26,T1400,94.0
Y2023,Ocak,D26,T1500,88.0
Y2023,Ocak,D26,T1600,81.0
Y2023,Ocak,D26,T1700,83.0
Y2023,Ocak,D26,T1800,75.0
Y2023,Ocak,D26,T1900,69.0
Y2023,Ocak,D26,T2000,63.0
Y2023,Ocak,D26,T2100,61.0
Y2023,Ocak,D26,T2200,60.0
Y2023,Ocak,D26,T2300,60.0
Y2023,Ocak,D27,T0000,62.0
Y2023,Ocak,D27,T0100,61.0
Y2023,Ocak,D27,T0200,75.0
Y2023,Ocak,D27,T0300,64.0
Y2023,Ocak,D27,T0400,54.0
Y2023,Ocak,D27,T0500,64.0
Y2023,Ocak,D27,T0600,56.0
Y2023,Ocak,D27,T0700,59.0
Y2023,Ocak,D27,T0800,59.0
Y2023,Ocak,D27,T0900,62.0
Y2023,Ocak,D27,T1000,95.0
Y2023,Ocak,D27,T1100,96.0
Y2023,Ocak,D27,T1200,98.0
Y2023,Ocak,D27,T1300,97.0
Y2023,Ocak,D27,T1400,84.0
Y2023,Ocak,D27,T1500,93.0
Y2023,Ocak,D27,T1600,74.0
Y2023,Ocak,D27,T1700,52.0
