Yil,Ay,Gun,Saat,Sicaklik
Y2023,Ocak,D17,T0800,0.8202454
Y2023,Ocak,D17,T0900,1.5502454
Y2023,Ocak,D17,T1000,2.2802453
Y2023,Ocak,D17,T1100,2.6302452
Y2023,Ocak,D17,T1200,3.0202456
Y2023,Ocak,D17,T1300,2.9802456
Y2023,Ocak,D17,T1400,2.2602453
Y2023,Ocak,D17,T1500,1.5502454
Y2023,Ocak,D17,T1600,1.3502455
Y2023,Ocak,D17,T1700,1.1102455
Y2023,Ocak,D17,T1800,1.0102454
Y2023,Ocak,D17,T1900,0.7902454
Y2023,Ocak,D17,T2000,1.0502454
Y2023,Ocak,D17,T2100,1.1902454
Y2023,Ocak,D17,T2200,0.84024537
Y2023,Ocak,D17,T2300,1.0702454
Y2023,Ocak,D18,T0000,1.9802454
Y2023,Ocak,D18,T0100,2.1302454
Y2023,Ocak,D18,T0200,2.2602453
Y2023,Ocak,D18,T0300,1.9402454
Y2023,Ocak,D18,T0400,1.6702454
Y2023,Ocak,D18,T0500,1.5802454
Y2023,Ocak,D18,T0600,1.7602454
Y2023,Ocak,D18,T0700,1.5702454
Y2023,Ocak,D18,T0800,1.5702454
Y2023,Ocak,D18,T0900,1.4502454
Y2023,Ocak,D18,T1000,1.3802454
Y2023,Ocak,D18,T1100,1.5202454
Y2023,Ocak,D18,T1200,1.9002454
Y2023,Ocak,D18,T1300,1.9102454
Y2023,Ocak,D18,T1400,1.9402454
Y2023,Ocak,D18,T1500,1.5502454
Y2023,Ocak,D18,T1600,1.1302454
Y2023,Ocak,D18,T1700,0.47024542
Y2023,Ocak,D18,T1800,0.16024542
Y2023,Ocak,D18,T1900,-0.019754589
Y2023,Ocak,D18,T2000,-0.23975462
Y2023,Ocak,D18,T2100,-0.39975458
Y2023,Ocak,D18,T2200,-0.22975457
Y2023,Ocak,D18,T2300,-1.0097545
Y2023,Ocak,D19,T0000,-1.3797545
Y2023,Ocak,D19,T0100,-1.5197545
Y2023,Ocak,D19,T0200,-2.1597548
Y2023,Ocak,D19,T0300,-2.5097547
Y2023,Ocak,D19,T0400,-2.3097544
Y2023,Ocak,D19,T0500,-2.1697545
Y2023,Ocak,D19,T0600,-2.1897545
Y2023,Ocak,D19,T0700,-1.9397546
Y2023,Ocak,D19,T0800,-1.9697546
Y2023,Ocak,D19,T0900,-1.2497545
Y2023,Ocak,D19,T1000,-0.05975461
Y2023,Ocak,D19,T1100,0.5102454
Y2023,Ocak,D19,T1200,1.2802454
Y2023,Ocak,D19,T1300,1.7302454
Y2023,Ocak,D19,T1400,1.8202454
Y2023,Ocak,D19,T1500,1.4902453
Y2023,Ocak,D19,T1600,-0.019754589
Y2023,Ocak,D19,T1700,-1.0097545
Y2023,Ocak,D19,T1800,-1.3997546
Y2023,Ocak,D19,T1900,-1.9997545
Y2023,Ocak,D19,T2000,-2.5897546
Y2023,Ocak,D19,T2100,-3.1097546
Y2023,Ocak,D19,T2200,-3.709755
Y2023,Ocak,D19,T2300,-3.459755
Y2023,Ocak,D20,T0000,-3.5997548
Y2023,Ocak,D20,T0100,-3.5097547
Y2023,Ocak,D20,T0200,-3.4497547
Y2023,Ocak,D20,T0300,-3.1997547
Y2023,Ocak,D20,T0400,-2.9597545
Y2023,Ocak,D20,T0500,-2.3197546
Y2023,Ocak,D20,T0600,-2.2997546
Y2023,Ocak,D20,T0700,-2.4997544
Y2023,Ocak,D20,T0800,-1.0197546
Y2023,Ocak,D20,T0900,-0.1897546
Y2023,Ocak,D20,T1000,0.090245396
Y2023,Ocak,D20,T1100,0.8202454
Y2023,Ocak,D20,T1200,1.3302454
Y2023,Ocak,D20,T1300,1.6502454
Y2023,Ocak,D20,T1400,1.9902455
Y2023,Ocak,D20,T1500,1.6202455
Y2023,Ocak,D20,T1600,0.4002454
Y2023,Ocak,D20,T1700,-0.73975456
