Yil,Ay,Gun,Saat,Ruzgar Hizi,Ruzgar Yonu
Y2023,Ocak,D18,T0500,33.50128,278.65253
Y2023,Ocak,D18,T0600,24.490585,294.30457
Y2023,Ocak,D18,T0700,18.947083,308.82983
Y2023,Ocak,D18,T0800,15.281989,316.90915
Y2023,Ocak,D18,T0900,12.984975,316.1233
Y2023,Ocak,D18,T1000,19.161337,334.39783
Y2023,Ocak,D18,T1100,18.671474,340.86636
Y2023,Ocak,D18,T1200,19.011953,341.222
Y2023,Ocak,D18,T1300,19.469975,340.55997
Y2023,Ocak,D18,T1400,17.654686,343.41266
Y2023,Ocak,D18,T1500,15.893093,346.90814
Y2023,Ocak,D18,T1600,13.358861,345.96375
Y2023,Ocak,D18,T1700,11.966953,338.83875
Y2023,Ocak,D18,T1800,14.20062,329.53445
Y2023,Ocak,D18,T1900,17.782686,328.24054
Y2023,Ocak,D18,T2000,18.709612,329.98163
Y2023,Ocak,D18,T2100,18.709612,329.98163
Y2023,Ocak,D18,T2200,17.595861,329.2373
Y2023,Ocak,D18,T2300,18.581022,324.46234
Y2023,Ocak,D19,T0000,17.935081,321.5198
Y2023,Ocak,D19,T0100,13.104198,322.8153
Y2023,Ocak,D19,T0200,8.14587,315.0
Y2023,Ocak,D19,T0300,7.10031,300.46555
Y2023,Ocak,D19,T0400,8.534353,297.64597
Y2023,Ocak,D19,T0500,10.495713,300.96378
Y2023,Ocak,D19,T0600,12.181624,304.1597
Y2023,Ocak,D19,T0700,14.512064,316.0051
Y2023,Ocak,D19,T0800,17.414474,330.25513
Y2023,Ocak,D19,T0900,18.792551,339.82935
Y2023,Ocak,D19,T1000,16.299694,329.4703
Y2023,Ocak,D19,T1100,13.18308,325.008
Y2023,Ocak,D19,T1200,10.233123,309.2894
Y2023,Ocak,D19,T1300,9.83268,293.7495
Y2023,Ocak,D19,T1400,9.9571085,282.5288
Y2023,Ocak,D19,T1500,9.107359,288.43497
Y2023,Ocak,D19,T1600,7.729527,297.75854
Y2023,Ocak,D19,T1700,7.653705,311.1859
Y2023,Ocak,D19,T1800,7.9932966,324.16235
Y2023,Ocak,D19,T1900,8.373386,334.53668
Y2023,Ocak,D19,T2000,8.557102,345.37915
