location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Cloud Cover Total
unit,%
level,sfc
resolution,hourly
aggregation,None
timestamp,Basel Cloud Cover Total
20230208T0200,0.0
20230208T0300,0.0
20230208T0400,0.0
20230208T0500,0.0
20230208T0600,0.0
20230208T0700,0.0
20230208T0800,0.0
20230208T0900,0.0
20230208T1000,0.0
20230208T1100,0.0
20230208T1200,0.0
20230208T1300,0.0
20230208T1400,0.0
20230208T1500,0.0
20230208T1600,0.0
20230208T1700,0.0
20230208T1800,0.0
20230208T1900,2.0
20230208T2000,0.0
20230208T2100,0.0
20230208T2200,0.0
20230208T2300,1.0
20230209T0000,0.0
20230209T0100,1.0
20230209T0200,1.0
20230209T0300,0.0
20230209T0400,2.0
20230209T0500,2.0
20230209T0600,4.0
20230209T0700,4.0
20230209T0800,0.0
20230209T0900,1.0
20230209T1000,0.0
20230209T1100,0.0
20230209T1200,0.0
20230209T1300,0.0
20230209T1400,0.3
20230209T1500,0.0
20230209T1600,0.6
20230209T1700,8.700001
20230209T1800,10.8
20230209T1900,3.0
20230209T2000,0.3
20230209T2100,2.7
20230209T2200,9.3
20230209T2300,4.5
20230210T0000,1.0
20230210T0100,0.3
20230210T0200,3.0
20230210T0300,0.0
20230210T0400,0.0
20230210T0500,0.0
20230210T0600,1.0
20230210T0700,0.0
20230210T0800,1.0
20230210T0900,1.0
20230210T1000,1.2
20230210T1100,10.200001
20230210T1200,12.0
20230210T1300,10.0
20230210T1400,4.0
20230210T1500,0.3
20230210T1600,0.3
20230210T1700,3.6000001
20230210T1800,12.6
20230210T1900,6.9
20230210T2000,0.90000004
20230210T2100,0.0
20230210T2200,0.0
20230210T2300,0.0
20230211T0000,0.0
20230211T0100,0.0
20230211T0200,0.0
20230211T0300,4.5
20230211T0400,23.1
20230211T0500,38.0
20230211T0600,68.0
20230211T0700,21.0
20230211T0800,19.0
20230211T0900,22.0
20230211T1000,30.0
20230211T1100,32.0
20230211T1200,17.0
20230211T1300,17.400002
20230211T1400,22.5
20230211T1500,2.7
20230211T1600,11.400001
20230211T1700,13.500001
20230211T1800,9.900001
20230211T1900,1.5
20230211T2000,0.0
20230211T2100,1.0
20230211T2200,1.2
20230211T2300,3.0
20230212T0000,3.0
20230212T0100,6.0
20230212T0200,9.0
20230212T0300,8.0
20230212T0400,10.0
20230212T0500,12.0
20230212T0600,12.0
20230212T0700,14.0
20230212T0800,15.0
20230212T0900,14.0
20230212T1000,12.0
20230212T1100,6.0
20230212T1200,2.0
20230212T1300,2.0
20230212T1400,2.0
20230212T1500,3.0
20230212T1600,0.0
20230212T1700,1.0
20230212T1800,1.0
20230212T1900,0.0
20230212T2000,0.0
20230212T2100,0.0
20230212T2200,7.0
20230212T2300,44.0
20230213T0000,57.0
20230213T0100,61.0
20230213T0200,68.0
20230213T0300,77.0
20230213T0400,71.0
20230213T0500,62.0
20230213T0600,66.0
20230213T0700,34.0
20230213T0800,72.0
20230213T0900,34.0
20230213T1000,43.0
20230213T1100,20.0
20230213T1200,9.0
20230213T1300,6.0
20230213T1400,5.0
20230213T1500,3.0
20230213T1600,2.0
20230213T1700,1.0
20230213T1800,1.0
20230213T1900,3.0
20230213T2000,1.0
20230213T2100,0.0
20230213T2200,1.0
20230213T2300,4.0
20230214T0000,26.0
20230214T0100,63.0
20230214T0200,65.0
20230214T0300,64.0
20230214T0400,54.0
20230214T0500,49.0
20230214T0600,24.0
20230214T0700,10.0
20230214T0800,7.0
20230214T0900,8.0
20230214T1000,29.0
20230214T1100,2.0
20230214T1200,2.0
20230214T1300,1.0
20230214T1400,0.0
20230214T1500,0.0
20230214T1600,0.0
20230214T1700,0.0
20230214T1800,0.0
20230214T1900,0.0
20230214T2000,0.0
20230214T2100,0.0
20230214T2200,1.0
20230214T2300,6.0
20230215T0000,5.0
20230215T0100,4.0
20230215T0200,4.0
20230215T0300,5.0
20230215T0400,4.0
20230215T0500,6.0
20230215T0600,5.0
20230215T0700,6.0
20230215T0800,4.0
20230215T0900,2.0
20230215T1000,0.0
20230215T1100,1.0
20230215T1200,0.0
20230215T1300,0.0
20230215T1400,0.0
20230215T1500,0.6
20230215T1600,8.400001
20230215T1700,18.0
20230215T1800,27.6
20230215T1900,27.6
20230215T2000,28.2
20230215T2100,27.900002
20230215T2200,28.800001
20230215T2300,28.2
20230216T0000,24.0
20230216T0100,24.6
20230216T0200,22.5
20230216T0300,19.800001
20230216T0400,6.6000004
20230216T0500,10.5
20230216T0600,3.6000001
20230216T0700,0.0
20230216T0800,1.2
20230216T0900,6.6000004
20230216T1000,8.700001
20230216T1100,9.3
20230216T1200,11.700001
20230216T1300,40.0
20230216T1400,75.0
20230216T1500,75.0
20230216T1600,28.0
20230216T1700,39.0
20230216T1800,70.0
20230216T1900,79.0
20230216T2000,88.0
20230216T2100,88.0
20230216T2200,90.0
20230216T2300,97.0
20230217T0000,99.0
20230217T0100,99.0
20230217T0200,97.0
20230217T0300,100.0
20230217T0400,100.0
20230217T0500,99.0
20230217T0600,98.0
20230217T0700,98.0
20230217T0800,100.0
20230217T0900,99.0
20230217T1000,91.0
20230217T1100,90.0
20230217T1200,91.0
20230217T1300,85.0
20230217T1400,86.0
20230217T1500,87.0
20230217T1600,71.0
20230217T1700,67.0
20230217T1800,74.0
20230217T1900,80.0
20230217T2000,83.0
20230217T2100,100.0
20230217T2200,86.0
20230217T2300,94.0
20230218T0000,98.0
20230218T0100,100.0
20230218T0200,97.0
20230218T0300,95.0
20230218T0400,98.0
20230218T0500,94.0
20230218T0600,83.0
20230218T0700,81.0
20230218T0800,93.0
20230218T0900,94.0
20230218T1000,94.0
20230218T1100,74.0
20230218T1200,77.0
20230218T1300,76.0
