location,Basel,Basel
lat,47.75000,47.75000
lon,7.50000,7.50000
asl,363.653,363.653
variable,Wind Speed,Wind Direction
unit,km/h,°
level,10 m,10 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20180129T1400,12.768586,248.49857
20180129T1500,11.631956,248.1986
20180129T1600,11.269782,243.43495
20180129T1700,11.113451,245.09525
20180129T1800,11.435313,241.82141
20180129T1900,11.090103,234.24612
20180129T2000,11.246759,230.19443
20180129T2100,11.304229,232.76517
20180129T2200,7.9932966,215.83765
20180129T2300,9.585739,214.28688
20180130T0000,9.220499,218.65982
20180130T0100,7.2,216.8699
20180130T0200,6.9247384,207.89728
20180130T0300,6.12,208.0725
20180130T0400,5.5887027,194.93143
20180130T0500,5.4477882,187.59465
20180130T0600,5.771239,183.57634
20180130T0700,5.771239,183.57634
20180130T0800,4.6938252,184.39871
20180130T0900,4.73506,188.74615
20180130T1000,2.8799999,180.0
20180130T1100,2.7416782,203.1986
20180130T1200,2.0991426,210.96376
20180130T1300,1.5273507,225.0
20180130T1400,1.4399999,270.0
20180130T1500,1.0182338,225.0
20180130T1600,2.7416782,203.1986
20180130T1700,4.896529,197.10272
20180130T1800,5.3517847,199.65382
20180130T1900,6.379216,196.38954
20180130T2000,5.5887027,194.93143
20180130T2100,6.5693827,189.46233
20180130T2200,6.830519,198.43495
20180130T2300,7.342588,191.30994
20180131T0000,6.830519,198.43495
20180131T0100,7.072878,194.74356
20180131T0200,6.9899354,191.88866
20180131T0300,7.2359104,185.71059
20180131T0400,7.208994,182.86241
20180131T0500,6.8399997,180.0
20180131T0600,7.5685663,177.27368
20180131T0700,8.311245,175.03026
20180131T0800,8.64,180.0
20180131T0900,9.114471,189.09027
20180131T1000,10.163227,202.9321
20180131T1100,13.441071,200.37643
20180131T1200,15.683774,211.86598
20180131T1300,16.08761,220.46222
20180131T1400,17.072504,222.43623
20180131T1500,15.696165,216.60707
20180131T1600,15.124284,218.23383
20180131T1700,16.299694,226.78992
20180131T1800,17.283749,234.3236
20180131T1900,17.727943,240.83238
20180131T2000,18.847641,241.47688
20180131T2100,20.497883,239.3814
20180131T2200,18.775303,237.52881
20180131T2300,21.175837,234.68878
20180201T0000,22.86496,236.56013
20180201T0100,20.26899,236.59218
20180201T0200,18.278645,237.875
20180201T0300,14.021525,240.80252
20180201T0400,13.363711,242.74467
20180201T0500,12.074766,243.43495
20180201T0600,10.464797,243.43495
20180201T0700,10.00256,239.74356
20180201T0800,9.726664,231.009
20180201T0900,9.686609,221.98721
20180201T1000,10.009036,217.69424
20180201T1100,11.384198,214.69516
20180201T1200,13.324863,218.41806
20180201T1300,14.05845,230.19443
20180201T1400,15.315873,240.42216
20180201T1500,12.7279215,241.26021
20180201T1600,9.511088,240.52411
20180201T1700,7.653705,228.81409
20180201T1800,7.127636,225.0
20180201T1900,6.1305785,229.76364
20180201T2000,5.6233797,230.19443
20180201T2100,6.638072,220.6013
20180201T2200,6.9153743,218.65982
20180201T2300,5.634891,206.56505
20180202T0000,5.991594,212.73523
20180202T0100,7.9932966,215.83765
20180202T0200,7.9036193,210.06859
20180202T0300,5.4833565,203.1986
